,title,description,release_date,genres,actors,duration,country,productions
0,Desperation Road,"After 11 years in a Mississippi state prison, Russell Gaines struggles to leave his past sins behind him as he returns home to his stoic father, Mitchell. One fateful night he meets Maben, a young mother with nothing but a stolen gun and a murdered police deputy to her name. Desperate and on the run, Russell and Maben must trust one another to escape their own circumstances, before the truths of their intertwined violent past threatens to destroy them.",2023-10-19,"['Action', 'Drama', 'Thriller']","['Garrett Hedlund', 'Mel Gibson', 'Ryan Hurst', 'Willa Fitzgerald', 'Ella Thomas']",112,United States of America,"['Grindstone Entertainment Group', 'Capstone Pictures', 'Elevated Films', 'Hopeful Romantix Productions', 'Capstone Pictures']"
1,The Exorcist: Believer,"Since the death of his wife 12 years ago, Victor Fielding has raised their daughter, Angela on his own. But when Angela and her friend Katherine disappear in the woods, only to return three days later with no memory of what happened to them, it unleashes a chain of events that will force Victor to confront the nadir of evil and, in his terror and desperation, seek out the only person alive who has witnessed anything like it before: Chris MacNeil.",2023-10-04,['Horror'],"['Leslie Odom Jr.', 'Ann Dowd', 'Ellen Burstyn', 'Jennifer Nettles', 'Norbert Leo Butz']",111,United States of America,"['Blumhouse Productions', 'Morgan Creek', 'Rough House Pictures', 'Morgan Creek Productions']"
2,Maybe Baby,"When two pregnant women learn that the fertility clinic mistakenly swapped their eggs, they must navigate the error — and their disdain for each other.",2023-03-16,['Comedy'],"['Mille Dinesen', 'Lars Ranthe', 'Thomas Bo Larsen', 'Neel Rønholt', 'Laura Bro']",104,Denmark,"['SF Studios Production', 'SF Studios Production']"
3,Angela,"In this biopic about the life and death of Ângela Diniz, Angela meets Raul and believes she has found someone who loves her free spirit as much as she does. The overwhelming attraction makes the couple drop everything and live the dream of rebuilding their lives on the beach. But the relationship declines into abuse and violence, giving rise to one of the most remembered murders in Brazil.",2023-09-07,['Drama'],"['Isis Valverde', 'Gabriel Braga Nunes', 'Alice Carvalho', 'Gustavo Machado', 'Bianca Bin']",104,Brazil,"['Bravura Cinematográfica', 'Downtown Filmes', 'Star Original Productions', 'SPcine', 'Agência Nacional do Cinema - ANCINE', 'Fundo Setorial do Audiovisual', 'ProAC', 'Banco Regional de Desenvolvimento do Extremo Sul', 'Secretaria de Cultura e Economia Criativa do Estado de São Paulo', 'Secretaria Municipal de Cultura de São Paulo', 'Ancine']"
4,V/H/S/85,"Unveiled through a made-for-TV documentary, five chilling tales of found footage horror emerge to take viewers on a gore-filled journey through the grim underbelly of the forgotten 1980s.",2023-09-22,['Horror'],"['Alex Galick', 'Anna Sundberg', 'Chelsey Grant', 'Toussaint Morrison', 'Tyler Noble']",110,United States of America,"['Bloody Disgusting', 'Studio71', 'Luchagore Productions', 'Cinepocalypse', 'Studio 71']"
5,The Caine Mutiny Court-Martial,"A naval officer stands trial for mutiny after taking command from a ship's captain he felt was acting in an unstable fashion, endangering both the ship and its crew.",2023-09-03,"['Drama', 'TV Movie']","['Kiefer Sutherland', 'Jason Clarke', 'Jake Lacy', 'Monica Raymund', 'Lance Reddick']",109,United States of America,"['Loveless', 'Selsed House']"
6,Pet Sematary: Bloodlines,"In 1969, a young Jud Crandall has dreams of leaving his hometown of Ludlow, Maine behind, but soon discovers sinister secrets buried within and is forced to confront a dark family history that will forever keep him connected to Ludlow.",2023-09-23,['Horror'],"['Jackson White', 'Forrest Goodluck', 'Jack Mulhern', 'Henry Thomas', 'Natalie Alyn Lind']",87,"Canada, ","['Paramount Players', 'Di Bonaventura Pictures']"
7,Deadly Desire,"Sophia's dream wedding turns sinister when friends start dying at her bachelorette party. She suspects her obsessed best friend Melody, who harbors a deadly love.",2023-10-05,['Thriller'],"['Erica Peeples', ""D'Kia Anderson"", 'Leila Weisberg', 'Desiree Mitchell', 'Aungelique Scott']",90,United States of America,"['Bungalow Media', 'Movies by Misfits']"
8,Ballerina,"Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.",2023-10-05,"['Action', 'Crime', 'Thriller']","['Jun Jong-seo', 'Kim Ji-hun', 'Park Yu-rim', 'Kim Moo-yul', 'Shin Se-hwi']",93,South Korea,"['Climax Studios', 'Lezhin Studio']"
9,A Deadly Invitation,"Eccentric millionaire Olivia sends her half sister Agatha, and a group of old acquaintances, a mysterious invitation for a weekend on her yacht, where they will discover the true motive behind this invitation: the celebration of… a murder?",2023-10-06,"['Comedy', 'Mystery']","['Maribel Verdú', 'Stephanie Cayo', 'Manolo Cardona', 'Aarón Díaz', 'Regina Blandón']",93,Mexico,['Windsor Films']
10,Brillantes,"Karine, a housekeeper of 34, is the full-time mother of 17 year-old Ziggy. When the company that employed her is taken over, subject to the laws of capitalism, Karine will have to choose between being true to herself, or lie to protect herself and her family.",2023-01-18,"['Comedy', 'Drama']","['Céline Sallette', 'Eye Haïdara', 'Thomas Gioria', 'Camille Lellouche', 'Souad Amidou']",103,France,"['Sensito Films', 'La Prod du Sud']"
