,backdrop_path,budget,genres,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,trailer_link,casts
0,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/628Dep6AxEtDxjZoGP78TsOxYbK.jpg,291000000,"['Action', 'Thriller']","Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",2219.346,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/NNxYkU70HPurnNCSiCjYAmacwm.jpg,"['Paramount', 'Skydance', 'TC Productions']",['United States of America'],2023-07-08,567148955,164,"['French', 'English', 'Italian', 'Russian']",We all share the same fate.,Mission: Impossible - Dead Reckoning Part One,7.6,2362,https://www.youtube.com/embed/HurjfO_TDlQ,"[{'name': 'Tom Cruise', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/eOh4ubpOm2Igdg0QH2ghj0mFtC.jpg'}, {'name': 'Hayley Atwell', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/cKUqIWH5Px237OW6LxsykR5dEE2.jpg'}, {'name': 'Ving Rhames', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/ohAOsD8E4tu35PI2buzZORpn9Ef.jpg'}, {'name': 'Simon Pegg', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/6ftW0kUeYno1kYfuwSTBILOtxjj.jpg'}, {'name': 'Rebecca Ferguson', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/lJloTOheuQSirSLXNA3JHsrMNfH.jpg'}, {'name': 'Vanessa Kirby', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/5fbvIkZ02RdcXfZHUUk4cQ9kILK.jpg'}, {'name': 'Esai Morales', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/kXQW3Uu8MnbIsPBzYNYDxFgDIDg.jpg'}, {'name': 'Pom Klementieff', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/hfUKAI2kXTMMWjno0i4sLPJud5N.jpg'}, {'name': 'Henry Czerny', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/zOWZzRmliKf9032IOOq0a3jXhVv.jpg'}, {'name': 'Shea Whigham', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/d3caK3l4UfbnzOxv95wLoFLZzMO.jpg'}, {'name': 'Greg Tarzan Davis', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/eN1KOOV3HQSYA58WjQKY05ruoGw.jpg'}]"
1,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/t5zCBSB5xMDKcDqe91qahCOUYVV.jpg,20000000,"['Horror', 'Mystery']","Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",2054.608,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/A4j8S6moJS2zNtRR8oWF08gRnL5.jpg,"['Blumhouse Productions', 'Scott Cawthon Productions']",['United States of America'],2023-10-25,252000000,110,['English'],Can you survive five nights?,Five Nights at Freddy's,8.02,2127,https://www.youtube.com/embed/X4d_v-HyR4o,"[{'name': 'Josh Hutcherson', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/npowygg8rH7uJ4v7rAoDMsHBhNq.jpg'}, {'name': 'Piper Rubio', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/x8tDKAgxMKwaNJSd9RB75EIJnOD.jpg'}, {'name': 'Elizabeth Lail', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/lDYjEyqojUs2sF3CgdsOZ9vr2KL.jpg'}, {'name': 'Matthew Lillard', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/51v6jsvzuAXYirIzdqcjLBp46d6.jpg'}, {'name': 'Mary Stuart Masterson', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/njHHxFIJutnRsFM1c85PC8FBOzj.jpg'}, {'name': 'Kat Conner Sterling', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/5Mq6X1MeVuoSa37VRQw987aF3pZ.jpg'}, {'name': 'David Lind', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/4fDDnqq5WlBI6DOkXe1YGdCJ0a2.jpg'}, {'name': 'Christian Stokes', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/h8pgK1CIMVNint4NHdI9V4qTly0.jpg'}, {'name': 'Joseph Poliquin', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/eZEDVgLFZirrCpoK1znP8rir5Ut.jpg'}, {'name': 'Grant Feely', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/7Oo9aQArAoJK1207UOenbk5NP6W.jpg'}, {'name': 'Asher Colton Spence', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/nKBPfq8FLvxbPg60XI5DYMwRC90.jpg'}]"
2,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/fm6KqXpk3M2HVveHwCrBSSBaO0V.jpg,100000000,"['Drama', 'History']",The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,1933.123,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,"['Syncopy', 'Universal Pictures', 'Atlas Entertainment']","['United Kingdom', 'United States of America']",2023-07-19,948900000,181,"['Dutch', 'English']",The world forever changes.,Oppenheimer,8.248,4343,https://www.youtube.com/embed/uYPbbksJxIg,"[{'name': 'Cillian Murphy', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/3DZAf9CwXmfV2HZOEdqeZAGTndV.jpg'}, {'name': 'Emily Blunt', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/nPJXaRMvu1vh3COG16GzmdsBySQ.jpg'}, {'name': 'Matt Damon', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/At3JgvaNeEN4Z4ESKlhhes85Xo3.jpg'}, {'name': 'Robert Downey Jr.', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/im9SAqJPZKEbVZGmjXuLI4O7RvM.jpg'}, {'name': 'Florence Pugh', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/fhEsn35uAwUZy37RKpLdwWyx2y5.jpg'}, {'name': 'Josh Hartnett', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/dCfu2EN7FjISACcjilaJu7evwEc.jpg'}, {'name': 'Casey Affleck', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/vD5MtCjHPHpmU9XNn74EPGMHT7o.jpg'}, {'name': 'Rami Malek', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/zvBCjFmedqXRqa45jlLf6vBd9Nt.jpg'}, {'name': 'Kenneth Branagh', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/AbCqqFxNi5w3nDUFdQt0DGMFh5H.jpg'}, {'name': 'Benny Safdie', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/gidElVVlUGeAby1trDGW9DlxLh5.jpg'}, {'name': 'Jason Clarke', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/jGMOmi7LxpSO6842gJOZKt1gs9N.jpg'}]"
3,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/wl4NWiZwpzZH67HiDgpDImLyds9.jpg,100000000,"['Action', 'Adventure', 'Thriller']","Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",1719.337,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg,"['Millennium Media', 'Campbell Grobman Films', 'Lionsgate']",['United States of America'],2023-09-15,58000000,103,['English'],They'll die when they're dead.,Expend4bles,6.472,688,https://www.youtube.com/embed/Cm3Z1jEjHHc,"[{'name': 'Jason Statham', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/whNwkEQYWLFJA8ij0WyOOAD5xhQ.jpg'}, {'name': '50 Cent', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/uyEfYdXj8lJusUyH7I7ChvhDXPH.jpg'}, {'name': 'Megan Fox', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/smjWHgaVWUnAoxeg65gL4NE5Gnp.jpg'}, {'name': 'Dolph Lundgren', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/fisJpm05tw6GCJ4v62TKBCoWuZM.jpg'}, {'name': 'Iko Uwais', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/9WngJ2lOCy3UczLv3L2JRZvX0UM.jpg'}, {'name': 'Andy García', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/aRooE4lECWf0YXd2NefeM4Wu4rn.jpg'}, {'name': 'Sylvester Stallone', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/pOpbPofjwpynRkWPZZZkyGds6rx.jpg'}, {'name': 'Tony Jaa', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/AdN11kgJeKgjyWPRTGSHjSPzG7N.jpg'}, {'name': 'Randy Couture', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/pmdPaQBWufFVwVxJYofLcERZr1l.jpg'}, {'name': 'Jacob Scipio', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/gcZSJy9LZ8DUDP480Q2K1OhL1Ct.jpg'}, {'name': 'Levy Tran', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/ungYHOdC0DETelUD8I6FR1bFdn.jpg'}]"
4,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/pA3vdhadJPxF5GA1uo8OPTiNQDT.jpg,14500000,"['Action', 'Drama']","The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",1378.682,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/qA5kPYZA7FkVvqcEfJRoOy4kpHg.jpg,['Santa Fe Films'],['United States of America'],2023-07-03,239366545,131,"['English', 'Spanish']",Fight for the light. Silence the darkness.,Sound of Freedom,8.083,1388,https://www.youtube.com/embed/hyyyKcfJRGQ,"[{'name': 'Jim Caviezel', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/wDf6ukCaGMEnH94GzLP2NGjKeNL.jpg'}, {'name': 'Mira Sorvino', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/11raFiNo7QfisH44v3NIfpVvIz5.jpg'}, {'name': 'Bill Camp', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/yZFata0EVr7TbIAz8vZFyiDKDts.jpg'}, {'name': 'Gerardo Taracena', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/wvqDQf71ezlA36ZzhWe1D7cKLLS.jpg'}, {'name': 'Kurt Fuller', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/kV02XLACLFd1YYQdSOgqy6lFmQ3.jpg'}, {'name': 'José Zúñiga', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/r6nFkJkMHP9tFDohwfav9Bf2rCR.jpg'}, {'name': 'Eduardo Verástegui', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/jUPrzJbA4ksTR0DYK10PKpq1yJG.jpg'}, {'name': 'Scott Haze', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/6cd3Jt8Vo52j8cRKbNf1j7cERhs.jpg'}, {'name': 'Yessica Borroto Perryman', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/alrgY3bx7Us6N9VHyqCGuy0NvZa.jpg'}, {'name': 'Gary Basaraba', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/dH6zocqD5heDerhCANUtfy00gHm.jpg'}, {'name': 'Manny Pérez', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/auDXIA7COAJkgPFYlZWAvCuezRG.jpg'}]"
5,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,340000000,"['Action', 'Crime', 'Thriller']","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",1190.89,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,"['Universal Pictures', 'Original Film', 'One Race', 'Perfect Storm Entertainment']",['United States of America'],2023-05-17,704709660,142,['English'],The end of the road begins.,Fast X,7.23,4236,https://www.youtube.com/embed/eoOaKN4qCKw,"[{'name': 'Vin Diesel', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/nZdVry7lnUkE24PnXakok9okvL4.jpg'}, {'name': 'Michelle Rodriguez', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/76sSLbMKLH80jlmMeqsHIIvlQgG.jpg'}, {'name': 'Tyrese Gibson', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/1K315wBQBvDBuZMlzoozuGsqFXZ.jpg'}, {'name': 'Ludacris', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/erkJijujhe48vhJ8iCEtVpNEeVn.jpg'}, {'name': 'John Cena', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/cO6n5pxKzHdGauqru6m5kuHb51z.jpg'}, {'name': 'Nathalie Emmanuel', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/koSwmmonFJiZDfwmZgdVA7I1aR.jpg'}, {'name': 'Jordana Brewster', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/8VzFsSfT7NnMGyH5JQBQdTxDHcO.jpg'}, {'name': 'Sung Kang', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/ox4ti0WmpJoN19n3iYJ2T2vHP5f.jpg'}, {'name': 'Jason Momoa', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/6dEFBpZH8C8OijsynkSajQT99Pb.jpg'}, {'name': 'Scott Eastwood', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/afBfMtNlGm9dZ2eNSjSVk3XkgoU.jpg'}, {'name': 'Daniela Melchior', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/as7JfOagvDzhINDdA9Lkrp98UnJ.jpg'}]"
6,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/feSiISwgEpVzR1v3zv2n2AU4ANJ.jpg,274800000,"['Action', 'Adventure', 'Science Fiction']","Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",1080.763,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/Ag3D9qXjhJ2FUkrlJ0Cv1pgxqYQ.jpg,"['Marvel Studios', 'Kevin Feige Productions']",['United States of America'],2023-11-08,108998133,105,"['English', 'Urdu']",Higher. Further. Faster. Together.,The Marvels,6.6,325,https://www.youtube.com/embed/uwmDH12MAA4,"[{'name': 'Brie Larson', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/iqZ5uKJWbwSITCK4CqdlUHZTnXD.jpg'}, {'name': 'Teyonah Parris', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/k3U24YNgdaINZEQ4PftebnN5cpU.jpg'}, {'name': 'Iman Vellani', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/uqaJuR24yXL1oXvAqUbOoEGChgb.jpg'}, {'name': 'Zawe Ashton', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/6JWculMAjIIwCAIpFLGVVbke7Cx.jpg'}, {'name': 'Park Seo-jun', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/k1ALgZkOApYt7PIUBkUitmknXQC.jpg'}, {'name': 'Samuel L. Jackson', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/nCJJ3NVksYNxIzEHcyC1XziwPVj.jpg'}, {'name': 'Gary Lewis', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/cOaibfAluUeWPtcSOjedfGXn9ym.jpg'}, {'name': 'Zenobia Shroff', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/zo3GlNoJkjtKMbZc5hcwmE5q9C6.jpg'}, {'name': 'Mohan Kapur', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/lL0J5DBOwN1pwLCvuo7uQ0ApjF.jpg'}, {'name': 'Saagar Shaikh', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/dipfu3fGTNcLPvmRuh9I7HWRzhr.jpg'}, {'name': 'Lashana Lynch', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/ypNxRag9uJ5nzPAN2um3amQK340.jpg'}]"
7,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/tj7mp7uWjVw5N73G5Hwm1bkMOcD.jpg,0,"['Action', 'War']","Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.",972.894,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ssEFC5wfFjj7lJpUgwJDOK1Xu1J.jpg,"['Saban Films', 'Bleiberg Entertainment']",['United Kingdom'],2023-10-26,0,101,['English'],Warrior. Mother. Queen.,Boudica,6.387,75,https://www.youtube.com/embed/nFwuqwVLCl8,"[{'name': 'Olga Kurylenko', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/ei6eYUhQFw2AaV6U5fyPptBaPF0.jpg'}, {'name': 'Peter Franzén', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/xSaQngT3vSFjIc6X6OA8gyFEhkD.jpg'}, {'name': 'Clive Standen', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/8cxLoC2qnzk0FvuLFLRGxYSq9i9.jpg'}, {'name': 'Lucy Martin', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/qsvdRFGxJzSWAX9o66K7XOGVLLS.jpg'}, {'name': 'Nick Moran', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/kfWebCAm72JBZLXcNbA2Myr950E.jpg'}, {'name': 'James Faulkner', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/wMDpbctF9cAL5nYnSL6AcXUTG5K.jpg'}, {'name': 'Rita Tushingham', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/tNEnBfq5vPtFD7lEtbP7HmmuKeV.jpg'}, {'name': 'Harry Kirton', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/16mQaXzSvOgWhDPhAqYuJev7Br2.jpg'}, {'name': 'Andy Beckwith', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/9fL7P2yETzD74Yli7IEpP14RJlG.jpg'}]"
8,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/tC78Pck2YCsUAtEdZwuHYUFYtOj.jpg,70000000,"['Action', 'Thriller', 'Crime']","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",969.198,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/b0Ej6fnXAP8fK75hlyi2jKqdhHz.jpg,"['Escape Artists', 'Columbia Pictures', 'Eagle Pictures', 'ZHIV Productions']","['Italy', 'United States of America']",2023-08-30,185500000,109,"['Italian', 'English']",Justice knows no borders.,The Equalizer 3,7.426,1582,https://www.youtube.com/embed/fQfrzHFmVe8,"[{'name': 'Denzel Washington', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/jj2Gcobpopokal0YstuCQW0ldJ4.jpg'}, {'name': 'Dakota Fanning', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/qr2sSNRenUiRrUONZQZhVNorbOz.jpg'}, {'name': 'Eugenio Mastrandrea', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/tFvgQP7j3F0ATXxzLS2yOaeU05Q.jpg'}, {'name': 'David Denman', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/4I06ZD8SQ6pU1QYShiUXb711fJW.jpg'}, {'name': 'Gaia Scodellaro', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/5hk50qopSbFHDqWlHzBeN7crEVj.jpg'}, {'name': 'Remo Girone', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/gRS90yn20ZMlq4pvVQjtUM5DLqN.jpg'}, {'name': 'Andrea Scarduzio', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/f19xKzDwURgKeUoThlSSvIgBx6P.jpg'}, {'name': 'Andrea Dodero', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/yqcYijFrb5lLD606Y6LFvyRV2kr.jpg'}, {'name': 'Daniele Perrone', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/uIEMiZf19EivJceMGoUQzY9mIPy.jpg'}, {'name': 'Sonia Ammar', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/berQQTh2roTqiwYfIUvGAbQlVU.jpg'}, {'name': 'Manuela Tasciotti', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/hF66B3tqc8uelDVKRQ8xl5U1LLH.jpg'}]"
9,https://www.themoviedb.org/t/p/w533_and_h300_bestv2/eSsMzJpzAwCa69tm6Wco2il44aJ.jpg,0,"['Action', 'Crime', 'Drama', 'Thriller']","LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",941.125,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/qXChf7MFL36BgoLkiB3BzXiwW82.jpg,"['Highland Film Group', 'Broken Open Pictures', 'Slow Burn', 'Studio507']",['United States of America'],2023-09-29,7807,100,"['German', 'English', 'Spanish']",Vengeance unleashed.,Muzzle,6.705,118,https://www.youtube.com/embed/rYY5QdEGEZw,"[{'name': 'Aaron Eckhart', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/5EFQvRHlpP1Iaw2e6vjOaBny6DV.jpg'}, {'name': 'Stephen Lang', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/xEBuFWrCKDQD6r6CZK71GYIc4UW.jpg'}, {'name': 'Diego Tinoco', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/ayRLsNOGj7l1Flx3MOooKIWGNRK.jpg'}, {'name': 'Leslie Black', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/efwkqdaSOCdvJCGPvBXKiSKxDFA.jpg'}, {'name': 'Penelope Mitchell', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/lGXfmQsOp0QWasXOG8hHHVhMbG6.jpg'}, {'name': 'Nick Searcy', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/AnqbYGdLLaUaMfCtE0zYiRiI7E6.jpg'}, {'name': 'Grainger Hines', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/76yr0UTlb72dWWbfCIGaYkWMyWR.jpg'}, {'name': 'Luis Chávez', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/aYIUIGtivXGkRyFmzTRK7GRM8Id.jpg'}, {'name': 'Delissa Reynolds', 'profile_path': 'https://www.themoviedb.org/t/p/w138_and_h175_face/hUceo25PpWhiPXZKpfng91ZSULI.jpg'}, {'name': 'George Avgoustis', 'profile_path': ''}, {'name': 'Danielle Munday', 'profile_path': ''}]"
